2025-07-19T01:32:11.693Z [error] : [POST] /upload/image >> StatusCode:: 400, Message:: No image file provided
2025-07-19T01:32:54.909Z [error] : [POST] /upload/image >> StatusCode:: 400, Message:: No image file provided
2025-07-19T01:33:23.380Z [error] : [POST] /upload/image >> StatusCode:: 400, Message:: No image file provided
2025-07-19T02:22:51.944Z [error] : [POST] /auth/login >> StatusCode:: 400, Message:: Password minimal 8 karakter
2025-07-19T02:23:28.343Z [error] : [POST] /auth/login >> StatusCode:: 401, Message:: Username atau password salah
2025-07-19T02:23:30.401Z [error] : [POST] /auth/login >> StatusCode:: 401, Message:: Username atau password salah
2025-07-19T02:23:39.169Z [error] : [POST] /auth/login >> StatusCode:: 401, Message:: Username atau password salah
2025-07-19T02:23:42.270Z [error] : [POST] /auth/login >> StatusCode:: 401, Message:: Username atau password salah
2025-07-19T02:27:29.342Z [error] : [POST] /auth/register >> StatusCode:: 400, Message:: Username sudah digunakan
2025-07-19T02:27:31.162Z [error] : [POST] /auth/register >> StatusCode:: 400, Message:: Username sudah digunakan
2025-07-19T02:52:18.227Z [error] : [GET] /transactions >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:52:18.235Z [error] : [GET] /transactions >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:52:18.239Z [error] : [GET] /products >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:52:18.245Z [error] : [GET] /categories >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:52:18.276Z [error] : [GET] /products >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:52:18.281Z [error] : [GET] /products >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:52:18.285Z [error] : [GET] /categories >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:52:18.289Z [error] : [GET] /products >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:52:18.294Z [error] : [GET] /categories >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:52:18.299Z [error] : [GET] /categories >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:52:30.432Z [error] : [GET] /transactions >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:52:30.437Z [error] : [GET] /transactions >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:52:30.443Z [error] : [GET] /products >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:52:30.448Z [error] : [GET] /categories >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:52:30.453Z [error] : [GET] /categories >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:52:30.458Z [error] : [GET] /products >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:52:30.463Z [error] : [GET] /categories >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:52:30.468Z [error] : [GET] /categories >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:52:30.472Z [error] : [GET] /products >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:52:30.501Z [error] : [GET] /products >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:54:55.800Z [error] : [GET] /transactions >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:54:55.805Z [error] : [GET] /products >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:54:55.816Z [error] : [GET] /products >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:54:55.820Z [error] : [GET] /categories >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:54:55.824Z [error] : [GET] /categories >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:54:55.831Z [error] : [GET] /categories >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:54:55.837Z [error] : [GET] /products >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:54:55.845Z [error] : [GET] /categories >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:54:55.851Z [error] : [GET] /transactions >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:54:55.855Z [error] : [GET] /products >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:55:15.502Z [error] : [GET] /transactions >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:55:15.508Z [error] : [GET] /products >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:55:15.512Z [error] : [GET] /categories >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:55:15.516Z [error] : [GET] /products >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:55:15.519Z [error] : [GET] /products >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:55:15.522Z [error] : [GET] /categories >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:55:15.525Z [error] : [GET] /categories >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:55:15.529Z [error] : [GET] /products >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:55:15.533Z [error] : [GET] /categories >> StatusCode:: 401, Message:: Token tidak valid
2025-07-19T02:55:15.537Z [error] : [GET] /transactions >> StatusCode:: 401, Message:: Token tidak valid
